Reviewed,track_id,title,artist,youtube_url,genre,is_instrumental,mood_tags,tempo_bpm,valence,arousal,description
Approved,track_01,Anandoloke Mongololoke,Hemanta Mukhopadhyay,https://www.youtube.com/watch?v=yYrSjdP8Z40,Rabindra Sangeet,FALSE,"calm, peaceful, serene, spiritual, comforting",72,0.75,-0.5,A classic devotional/peaceful song that induces deep calm and spiritual reassurance with gentle acoustic arrangements.
Approved,track_02,Ami Chini Go Chini (Harmonica),Classic Harmonica Ensemble,https://www.youtube.com/watch?v=CTD9A1B6QDg,Rabindra Sangeet,TRUE,"calm, peaceful, serene, soothing",68,0.75,-0.75,"Instrumental Harmonica version of the classic Rabindra Sangeet, offering serene acoustic flows without vocal distraction."
Approved,track_03,Noyon Chere Gele Chole,Manabendra Mukhopadhyay,https://www.youtube.com/watch?v=p0a_g_MK2yk,Nazrul Geeti,FALSE,"calm, peaceful, comforting, spiritual",66,0.5,-0.5,"A soothing, spiritual Nazrul Geeti with gentle instrumentation, providing stability and emotional comfort."
Under review,track_04,Tomake Chai,Kabir Suman,https://www.youtube.com/watch?v=JZ1CReueASQ,Modern Acoustic,FALSE,"calm, comforting, serene, hopeful",,0.75,-0.25,"Soft acoustic guitar-driven song conveying warmth, deep love, and serene comfort."
Under review,track_05,Ekta Chele,Sahana Bajpaie,https://www.youtube.com/watch?v=bYqPJaq-BdY,Modern Acoustic,FALSE,"calm, peaceful, nostalgic, comforting",,0.5,-0.5,"A gentle acoustic ballad with comforting female vocals, evoking positive nostalgia and relaxation."
Approved,track_06,Amaro Porano Jaha Chay,Sraboni Sen,https://www.youtube.com/watch?v=DXpQmgeJt9s,Rabindra Sangeet,FALSE,"calm,  romantic, somber, longing,peaceful",60,-0.75,-0.5,"A slow-tempo, somber song expressing deep romantic longing and sadness, using minimalist instruments."
Approved,track_07,Shedin Dujone (Violin),Classical Violin Ensemble,https://www.youtube.com/watch?v=7BfnDgPcg6M,Rabindra Sangeet,TRUE,"sad, melancholic, somber, nostalgic",,-0.5,-0.75,"Quiet, weeping instrumental violin arrangement of a melancholic rain-themed song, perfect for reflecting on grief."
Under review,track_08,Shunno E Buke Pakhi Mor,Firoza Begum,https://www.youtube.com/watch?v=WgCJ8_64qvo,Nazrul Geeti,FALSE,"sad, melancholic, somber, lonely",,-0.75,-0.5,"A tragic Nazrul Geeti expressing intense sorrow, grief, and emptiness, delivered with emotional vocal control."
Approved,track_09,Coffee House-er Shei Adda,Manna Dey,https://www.youtube.com/watch?v=kvadzdVaTtg,Old Movie Songs,FALSE,"nostalgic,reflective,bittersweet,friendship",,-0.25,-0.25,"A legendary narrative song about lost friendships and nostalgia. While a bit upbeat in rhythm, the lyrical tone is deeply bittersweet and melancholic."
Approved,track_10,Bhalobashi Jare,Arnob,https://www.youtube.com/watch?v=rLH-akvfK9s,Modern Acoustic,FALSE," romantic,longing,intimate",,-0.5,-0.5,"Melancholic acoustic track with somber guitars and vocals, addressing isolation and unrequited love."
Under review,track_12,Acid,Fossils,https://www.youtube.com/watch?v=Y2BGJZz8vW8,Bengali Band,FALSE,"tense, angry, anxious, agitated",,-0.75,0.75,"High-tempo rock track filled with raw frustration and tension, useful for matching intense emotional outbursts."
Approved,track_14,Karar Oi Louho Kopot,Bengali Band Ensemble,https://www.youtube.com/watch?v=jn4DHIUS5qE,Bengali Band,FALSE,"tense, angry, energetic, dramatic",,-0.5,0.75,"Rousing revolutionary song with heavy band arrangements, expressing defiance, anger, and tension."
Approved,track_15,Bidrohi,Kazi Sabyasachi,https://www.youtube.com/watch?v=29X1GFso6y0,Nazrul Geeti,FALSE,"tense, angry, dramatic, agitated",,-0.5,0.5,"Recitative dramatic poem with intense vocal delivery and tense background string arrangement, representing revolutionary anger."
Under review,track_16,"Komola Shundori,,",Coke Studio Bangla,https://www.youtube.com/watch?v=m3wAFGeuUNw,Folk & Baul,FALSE,"joyful, energetic, celebratory, uplifting",,0.75,0.75,"Highly energetic folk dance track with dotara and dhol, inducing instant joy and high physical activation."
Approved,track_17,"Prithibita Naki Chhoto,,,,,,,",Mohiner Ghoraguli,https://www.youtube.com/watch?v=TLoICmZ44gw,Bengali Band,FALSE,"joyful, energetic, hopeful, nostalgic",,0.5,0.5,"Energetic folk-rock song with upbeat rhythms and a hopeful, nostalgic chorus."
Approved,track_18,"Aha Ki Anando Akashe Batashe,,,,,,,,",Anup Ghoshal,https://www.youtube.com/watch?v=nSsC1NOQGjY,Old Movie Songs,FALSE,"joyful, playful, celebratory, uplifting",,0.75,0.5,"Celebratory film classic expressing pure joy, freedom, and relief with upbeat orchestral acoustics."
Under review,track_19,Nao Chhariya De,Abbasuddin Ahmed,https://www.youtube.com/watch?v=QLogl1qcmLM,Folk & Baul,FALSE,"joyful, energetic, hopeful, uplifting",,0.5,0.5,"Upbeat folk river song with energetic rhythms, instilling a feeling of motion, hope, and determination."
Approved,track_20,Mamo Chitte Niti Nritte,Arijit,https://www.youtube.com/watch?v=tpF3kSZa9wk,Rabindra Sangeet,FALSE,"joyful, playful, celebratory, uplifting",104,0.75,0.5,"Upbeat Rabindra Sangeet with rhythmic percussion and joyful vocals, moving the listener towards happiness and light activity."
Approved,track_21,Amar Hiyar Majhe,Chinmoy Chattopadhyay,https://www.youtube.com/watch?v=MZfs92WlmMY,Rabindra Sangeet,FALSE,"calm, peaceful, serene, spiritual",70,0.75,-0.5,"A meditative devotional track with soothing vocals, conveying inner peace and safety."
Approved,track_22,Tumi Je Amar,Geeta Dutt,https://www.youtube.com/watch?v=97-Ch6d2LBE,Old Movie Songs,FALSE,"calm, comforting, serene, soothing",74,0.75,-0.5,"A classic, deeply comforting romantic ballad with soft instrumentation, ideal for emotional stabilization."
Approved,track_25,Eki Labonye Purna Pran,Kanika Bandyopadhyay,https://www.youtube.com/watch?v=rE1Fm4j-kpw,Rabindra Sangeet,FALSE,"calm, peaceful, serene, spiritual",,1,-0.5,"A deeply spiritual Puja Parba song expressing divine beauty, providing profound peace."
Approved,track_26,Cheye Thaki Cheye Thaki,Anjan Dutt,https://www.youtube.com/watch?v=6wnEknhxpU0,Modern Acoustic,FALSE,"calm, reflective, comforting, soothing",,0.5,-0.25,"Quiet acoustic song with soft humming and simple chords, providing a relaxing, reflective atmosphere."
Approved,track_27,Amar Kantho Hote Sur Kere Nilo,Haimanti Shukla,https://www.youtube.com/watch?v=KSgOyZR_BTA,Nazrul Geeti,FALSE,"sad, melancholic, somber, lonely",,-0.75,-0.5,"A tragic piece expressing loss of voice and depression, featuring crying vocals and solo harmonium."
Approved,track_28,Ami Je Jalsagharer,Manna Dey,https://www.youtube.com/watch?v=nge2hWSQyEc,Old Movie Songs,FALSE,"sad, melancholic, somber, lonely",,-0.75,-0.25,"A song of deep regret, loneliness, and despair from a classic movie, heavily layered with somber acoustic strings."
Approved,track_30,Ami Opar Hoye,Lalon Fakir,https://www.youtube.com/watch?v=IeIS73oswUw,Folk & Baul,FALSE,"sad, melancholic, longing, spiritual",,-0.5,-0.5,"Devotional Lalon song expressing helplessness, spiritual longing, and melancholia over life's journey."
Approved,track_31,Shedin Dujone (Piano),Classical Piano Ensemble,https://www.youtube.com/watch?v=WRWBtAgZ4OI,Rabindra Sangeet,TRUE,"reflective,nostalgic,peaceful",,-0.5,-0.75,"A slow piano solo version of the melancholic song, letting the listener sit with reflective sorrow."
Approved,track_32,Brishti Tomake Dilam,Kabir Suman,https://www.youtube.com/watch?v=VhEPJkhXR1E,Modern Acoustic,FALSE,"sad, melancholic, lonely, longing",,-0.5,-0.5,"A slow-tempo rainy acoustic track focusing on solitude, loss, and quiet emotional release."
Approved,track_34,Bhanga Gorar Khela,Coke Studio Bangla,https://www.youtube.com/watch?v=TDRyAXRZysY,Bengali Band,FALSE,"tense, angry, energetic, dramatic",,-0.5,0.75,"A powerful fusion rock rendition of Nazrul's revolutionary poetry, filled with aggressive energy and tension."
Under review,track_36,Halud Pakhi,Cactus,https://www.youtube.com/watch?v=3WUXLeRbCew,Bengali Band,FALSE,"tense, sad, dramatic, longing",,-0.5,0.5,"A high-arousal melancholic rock track about death and loss. Fast, heavy drums contrast with the sorrowful lyrics."
Under review,track_37,Jhoro Jhoro Borishe (Heavy Fusion),Sahana Bajpaie,https://www.youtube.com/watch?v=tGWQBlUwF68,Rabindra Sangeet,FALSE,"tense, anxious, dramatic, melancholic",,-0.5,0.5,"A dramatic, driving interpretation of the storm song, using fast guitar plucking to induce high physiological engagement."
